15M          Fifteen minutes
ORM          Optical remote module
ORM          Optical remote switching module
ORM          Optically remote switching module
ORMC         Originating register marker connector
ORP          Operational review plan
ORR          Overflow reroute
ORRS         Online records and reporting system (TNDS)
ORS          Order send
ORTN         Orientation
ORTR         OSPS real-time rating
OS           Off premises PBX station line INTER/TRA blocal 1-26
OS           Operations systems (operations support systems) (OSS)
OS           Operator service
OS           Origination scanning
OS           Out of service
OS           Out sender
OS           Outstate
OS/D         Operator services/deaf
OSAC         Operator services assistance center
OSAC         Operator services of answer consistency
OSAM         Overflow sequential access method (IBM)
OSAP         Operations systems architecture plan
OSC          Operator services center
OSC          Oscillator
OSCAS        Operator service control access system
OSDS         Operating system for distributed switching
OSDS-C       Operating system for distributed switching in the conection
OSDS-M       Operating system for distributed in the switching module.
OSE          Oscillator error flip-flop
OSI          Open system interconnection
OSI          Open systems interconnection
OSLF         Out sender link frame
OSM1         Optional services menu screen number 1
OSN          Operations systems network
OSO          Originating screening office
OSO          Originating signaling office
OSPE         Outside plant engineer
OSPI         Operator services planning information
OSPRE/CON    Outside plant reconciliation
OSPS         Operator service position system
OSPS         Operator services position system
OSPS         Outside plant studies
OSPS-DL      OSPSystem data links
OSR          Ongoing support request
OSS          Operation support system
OSS          Operations support system
OSS          Operations support system (BTL)
OSS          Operator service signalling
OSS          Operator services system
OSSGR        Operator services system generic requirements
OSSP         Operations systems strategic plan
OSSS         Operator services support system
OSTC         Operations systems technical center
OT           Originating traffic
OT           Other type
OT           Overtime
OTA          OSPS toll and assistance
OTC          Operating telephone company (in bell system)
OTDR         Optical time domain reflectometers
OTER         Operator team efficiency ratio
OTG          Outgoing trunk group
OTH          Other
OTO          Office-to-office
OTR          Operational trouble report
OTSS         Off the shelf system
OTTS         Outgoing trunk transmission system
OUC          Orgination unit code
OUT          Outgoing trunk groups
OUTWATS      Outward wats
OUTWATS      Outward wide area telecommunications service
OVF          Overflow (NTI)
OVLT         Overvoltage protection
OVLY         Overlay scheduling
OVOEQ        OSPS call volume and equipment usage
OVRLD        Overload or congestion control
OVRRNG       Overrange
OVS          Overseas
OVW          Equipment class overwrite
OW           Over-write
OWG          Optical wave guide
OWT          Outwats [code 024(5500-5600)]
OXPRESS      Zero express
P            Commitment time for having this trouble repaired.
P-tone       Pseudo tone
P/AR         Peak-to-average ratio
P/F          Poll/final bit
PA           Power allarm
PA           Program address
PA           Program application
PA           Protective alarm (AC) INTER/TRA blocal 1-26
PABX         Private automatic branch echange
PABX         Private automatic branch exchange
PAC          Percent access chargeable
PACE         Program for arrangement of cables and equipment
PACK         Peripheral equipment packs
PACT         Prefix access code translator
PAD          Packet assembler/dissasembler
PADDLE       Program for administering data bases in the lfacs
PADS         Planning analysis and decision support
PADSX        Partially automated digital signal cross-connect
PAK          Work packages
PAL          Pre-service action limit
PAL          Price analysis list
PAL          Pricing and loading (mcauto)
PAL          Purchasing authorization letter
PAM          Pass along method (SS7: in ISUP)
